2026-04-24 15:54:57 wandb: Detected [huggingface_hub.inference, openai, agents] in use.
2026-04-24 15:54:57 wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
2026-04-24 15:54:57 wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
2026-04-24 15:54:57  42% 84/200 [53:14<1:14:16, 38.42s/it]
2026-04-24 15:58:10 {'loss': -0.0, 'grad_norm': 0.0, 'learning_rate': 2e-05, 'num_tokens': 15216.0, 'completions/mean_length': 256.0, 'completions/min_length': 256.0, 'completions/max_length': 256.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/reward_fn/mean': -1.075, 'rewards/reward_fn/std': 0.11964847445487976, 'reward': -1.075, 'reward_std': 0.11964846849441528, 'frac_reward_zero_std': 0.6, 'entropy': 0.9627146355807781, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.01}
2026-04-24 16:01:19 {'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 4.5e-05, 'num_tokens': 30084.0, 'completions/mean_length': 256.0, 'completions/min_length': 256.0, 'completions/max_length': 256.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/reward_fn/mean': -0.6424999952316284, 'rewards/reward_fn/std': 0.3479693591594696, 'reward': -0.6424999952316284, 'reward_std': 0.3479693531990051, 'frac_reward_zero_std': 0.4, 'entropy': 0.9629479289054871, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.02}
2026-04-24 16:04:30 {'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 4.8947368421052635e-05, 'num_tokens': 44280.0, 'completions/mean_length': 256.0, 'completions/min_length': 256.0, 'completions/max_length': 256.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/reward_fn/mean': -0.1524999976158142, 'rewards/reward_fn/std': 0.10500000119209289, 'reward': -0.1524999976158142, 'reward_std': 0.10500000119209289, 'frac_reward_zero_std': 0.6, 'entropy': 0.8816166132688522, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.03}
2026-04-24 16:07:39 {'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 4.7631578947368424e-05, 'num_tokens': 59536.0, 'completions/mean_length': 256.0, 'completions/min_length': 256.0, 'completions/max_length': 256.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/reward_fn/mean': -1.2049999952316284, 'rewards/reward_fn/std': 0.49828646183013914, 'reward': -1.2049999952316284, 'reward_std': 0.49828646183013914, 'frac_reward_zero_std': 0.4, 'entropy': 0.9441152453422547, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.05}
2026-04-24 16:10:50 {'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 4.6315789473684214e-05, 'num_tokens': 74408.0, 'completions/mean_length': 256.0, 'completions/min_length': 256.0, 'completions/max_length': 256.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/reward_fn/mean': -0.7549999952316284, 'rewards/reward_fn/std': 0.2958309531211853, 'reward': -0.7549999952316284, 'reward_std': 0.2958309531211853, 'frac_reward_zero_std': 0.6, 'entropy': 0.7895858511328697, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.06}
2026-04-24 16:13:59 {'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 4.5e-05, 'num_tokens': 89672.0, 'completions/mean_length': 256.0, 'completions/min_length': 256.0, 'completions/max_length': 256.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/reward_fn/mean': -1.2125, 'rewards/reward_fn/std': 0.3350354194641113, 'reward': -1.2125, 'reward_std': 0.3350354194641113, 'frac_reward_zero_std': 0.2, 'entropy': 0.8876145705580711, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.07}
2026-04-24 16:17:10 {'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 4.368421052631579e-05, 'num_tokens': 104208.0, 'completions/mean_length': 256.0, 'completions/min_length': 256.0, 'completions/max_length': 256.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/reward_fn/mean': -0.5125, 'rewards/reward_fn/std': 0.1978713572025299, 'reward': -0.5125, 'reward_std': 0.1978713572025299, 'frac_reward_zero_std': 0.6, 'entropy': 0.9811842441558838, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.08}
2026-04-24 16:20:18 {'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 4.236842105263158e-05, 'num_tokens': 119132.0, 'completions/mean_length': 256.0, 'completions/min_length': 256.0, 'completions/max_length': 256.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/reward_fn/mean': -0.7949999928474426, 'rewards/reward_fn/std': 0.3200000047683716, 'reward': -0.7949999928474426, 'reward_std': 0.3200000047683716, 'frac_reward_zero_std': 0.2, 'entropy': 0.7706898540258408, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.09}
2026-04-24 16:23:29 {'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 4.105263157894737e-05, 'num_tokens': 133984.0, 'completions/mean_length': 256.0, 'completions/min_length': 256.0, 'completions/max_length': 256.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/reward_fn/mean': -0.6299999952316284, 'rewards/reward_fn/std': 0.13999999761581422, 'reward': -0.6299999952316284, 'reward_std': 0.13999999761581422, 'frac_reward_zero_std': 0.8, 'entropy': 0.9041447818279267, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.1}
2026-04-24 16:26:39 {'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 3.973684210526316e-05, 'num_tokens': 148504.0, 'completions/mean_length': 256.0, 'completions/min_length': 256.0, 'completions/max_length': 256.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/reward_fn/mean': -0.4524999976158142, 'rewards/reward_fn/std': 0.10500000119209289, 'reward': -0.4524999976158142, 'reward_std': 0.10500000119209289, 'frac_reward_zero_std': 0.6, 'entropy': 0.9690783560276032, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.12}
2026-04-24 16:29:51 {'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 3.842105263157895e-05, 'num_tokens': 163360.0, 'completions/mean_length': 256.0, 'completions/min_length': 256.0, 'completions/max_length': 256.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/reward_fn/mean': -0.6875, 'rewards/reward_fn/std': 0.325, 'reward': -0.6875, 'reward_std': 0.325, 'frac_reward_zero_std': 0.2, 'entropy': 0.8135158121585846, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.13}
2026-04-24 16:33:02 {'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 3.710526315789474e-05, 'num_tokens': 177924.0, 'completions/mean_length': 256.0, 'completions/min_length': 256.0, 'completions/max_length': 256.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/reward_fn/mean': -0.40749999284744265, 'rewards/reward_fn/std': 0.2449999988079071, 'reward': -0.40749999284744265, 'reward_std': 0.2449999988079071, 'frac_reward_zero_std': 0.4, 'entropy': 0.9599480167031288, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.14}
2026-04-24 16:36:11 {'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 3.578947368421053e-05, 'num_tokens': 192452.0, 'completions/mean_length': 256.0, 'completions/min_length': 256.0, 'completions/max_length': 256.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/reward_fn/mean': -0.34749999046325686, 'rewards/reward_fn/std': 0.2198610246181488, 'reward': -0.34749999046325686, 'reward_std': 0.21986101865768432, 'frac_reward_zero_std': 0.6, 'entropy': 0.8998145423829556, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.15}
2026-04-24 16:39:20 {'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 3.447368421052632e-05, 'num_tokens': 207352.0, 'completions/mean_length': 256.0, 'completions/min_length': 256.0, 'completions/max_length': 256.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/reward_fn/mean': -0.5949999988079071, 'rewards/reward_fn/std': 0.33231988549232483, 'reward': -0.5949999988079071, 'reward_std': 0.33231988549232483, 'frac_reward_zero_std': 0.4, 'entropy': 0.8766672104597092, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.16}
2026-04-24 16:42:27 {'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 3.3157894736842106e-05, 'num_tokens': 222236.0, 'completions/mean_length': 256.0, 'completions/min_length': 256.0, 'completions/max_length': 256.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/reward_fn/mean': -0.6549999952316284, 'rewards/reward_fn/std': 0.1899999976158142, 'reward': -0.6549999952316284, 'reward_std': 0.1899999976158142, 'frac_reward_zero_std': 0.6, 'entropy': 0.9473827114328742, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.17}
2026-04-24 16:45:38 {'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 3.1842105263157895e-05, 'num_tokens': 237096.0, 'completions/mean_length': 256.0, 'completions/min_length': 256.0, 'completions/max_length': 256.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/reward_fn/mean': -0.7299999952316284, 'rewards/reward_fn/std': 0.25969234108924866, 'reward': -0.7299999952316284, 'reward_std': 0.25969234108924866, 'frac_reward_zero_std': 0.2, 'entropy': 0.8540645051747561, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'epoch': 0.19}
